Offset-raw,filename,ConnSpanList
and,talk_1976_en,1750..1753
and,talk_1976_en,1941..1944
but,talk_1976_en,2476..2479
and,talk_1976_en,2697..2700
so,talk_1976_en,2860..2862
if,talk_1976_en,2928..2930
and,talk_1976_en,3187..3190
and,talk_1976_en,3224..3227
and,talk_1976_en,3594..3597
because,talk_1976_en,3618..3625
because,talk_1976_en,3676..3683
and,talk_1976_en,3841..3844
and,talk_1976_en,4084..4087
so,talk_1976_en,4022..4024
and,talk_1976_en,4346..4349
if,talk_1976_en,4239..4241
if,talk_1976_en,4291..4293
and,talk_1976_en,4433..4436
and,talk_1976_en,4592..4595
and,talk_1976_en,4693..4696
then,talk_1976_en,4697..4701
and,talk_1976_en,4854..4857
but,talk_1976_en,4752..4755
and,talk_1976_en,5818..5821
but,talk_1976_en,5929..5932
if,talk_1976_en,5933..5935
if,talk_1976_en,5952..5954
if,talk_1976_en,5985..5987
if,talk_1976_en,6139..6141
because,talk_1976_en,6812..6819
when,talk_1976_en,6884..6888
if,talk_1976_en,3974..3976
still,talk_1976_en,1430..1435
but,talk_1976_en,1640..1643
so,talk_1976_en,2301..2303
so,talk_1976_en,3566..3568
and,talk_1976_en,3910..3913
but,talk_1976_en,3936..3939
then,talk_1976_en,5004..5008
so,talk_1976_en,5399..5401
but,talk_2009_en,563..566
as,talk_2009_en,789..791
and,talk_2009_en,1267..1270
but,talk_2009_en,1231..1234
and,talk_2009_en,2904..2907
and,talk_2009_en,3266..3269
because,talk_2009_en,3234..3241
but,talk_2009_en,3655..3658
so,talk_2009_en,3791..3793
until,talk_2009_en,3712..3717
and,talk_2009_en,348..351
so,talk_2009_en,352..354
but,talk_2009_en,756..759
but,talk_2009_en,2710..2713
and,talk_1927_en,123..126
when,talk_1927_en,234..238
because,talk_1927_en,431..438
but,talk_1927_en,1226..1229
and,talk_1927_en,1271..1274
and,talk_1927_en,1348..1351
if,talk_1927_en,1485..1487
but,talk_1927_en,1871..1874
and,talk_1927_en,2457..2460
and,talk_1927_en,2631..2634
if,talk_1927_en,2733..2735
and,talk_1927_en,3505..3508
and,talk_1927_en,3582..3585
and,talk_1927_en,3683..3686
and,talk_1927_en,3726..3729
and,talk_1927_en,4008..4011
and,talk_1927_en,4273..4276
and,talk_1927_en,5130..5133
if,talk_1927_en,5448..5450
and,talk_1927_en,5616..5619
so,talk_1927_en,5852..5854
and,talk_1927_en,6114..6117
and,talk_1927_en,6661..6664
or,talk_1927_en,6777..6779
so,talk_1927_en,6750..6752
if,talk_1927_en,6894..6896
and,talk_1927_en,7191..7194
if,talk_1927_en,7883..7885
if,talk_1927_en,8323..8325
but,talk_1927_en,8591..8594
but,talk_1927_en,8731..8734
or,talk_1927_en,8886..8888
since,talk_1927_en,8735..8740
and,talk_1927_en,9205..9208
and,talk_1927_en,9321..9324
because,talk_1927_en,9641..9648
and,talk_1927_en,267..270
and,talk_1927_en,489..492
and,talk_1927_en,1320..1323
and,talk_1927_en,1826..1829
also,talk_1927_en,1912..1916
and,talk_1927_en,2283..2286
but,talk_1927_en,2415..2418
but,talk_1927_en,3142..3145
and,talk_1927_en,4826..4829
so,talk_1927_en,5310..5312
but,talk_1927_en,5359..5362
so,talk_1927_en,7290..7292
but,talk_1927_en,7331..7334
so,talk_1927_en,7771..7773
but,talk_1927_en,9525..9528
but,talk_2150_en_intra,304..307
or,talk_2150_en_intra,241..243
when,talk_2150_en_intra,92..96
and,talk_2150_en_intra,550..553
and,talk_2150_en_intra,672..675
also,talk_2150_en_intra,815..819
and,talk_2150_en_intra,806..809
because,talk_2150_en_intra,1147..1154
because,talk_2150_en_intra,1264..1271
but,talk_2150_en_intra,1253..1256
and,talk_2150_en_intra,1435..1438
and,talk_2150_en_intra,1647..1650
and,talk_2150_en_intra,1824..1827
and,talk_2150_en_intra,2260..2263
but,talk_2150_en_intra,2135..2138
and,talk_2150_en_intra,2698..2701
and,talk_2150_en_intra,2980..2983
and,talk_2150_en_intra,3043..3046
and,talk_2150_en_intra,3221..3224
and,talk_2150_en_intra,4072..4075
but,talk_2150_en_intra,4026..4029
as,talk_2150_en_intra,4666..4668
and,talk_2150_en_intra,4509..4512
and,talk_2150_en_intra,4543..4546
if,talk_2150_en_intra,4547..4549
if,talk_2150_en_intra,5105..5107
and,talk_2150_en_intra,5353..5356
if,talk_2150_en_intra,5372..5374
and,talk_2150_en_intra,5651..5654
but,talk_2150_en_intra,5562..5565
if,talk_2150_en_intra,5670..5672
but,talk_2150_en_intra,1553..1556
so,talk_2150_en_intra,2461..2463
though,talk_2150_en_intra,2477..2483
and,talk_2150_en_intra,2880..2883
also,talk_2150_en_intra,3584..3588
but,talk_2150_en_intra,3571..3574
then,talk_2150_en_intra,3575..3579
also,talk_2150_en_intra,3921..3925
and,talk_2150_en_intra,3882..3885
then,talk_2150_en_intra,3886..3890
so,talk_2150_en_intra,4185..4187
so,talk_2150_en_intra,5102..5104
and,talk_2150_en_intra,5252..5255
